solver,problem,restarts,conflicts,decisions,propagations,conf_lits,num_ev,ev_decisions,ev_conflicts,ev_learnt,total_lbd,mem_used,cpu_time,er_time,satisfiability
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2016/bench_2594.smt2_maplesat_preprocess.cnf,2046,1013996,1708997,1252338931,79781747,0,0,0,0,35717984,43,317.133,0.000453,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2017/bench_2250.smt2_maplesat_preprocess.cnf,893,373541,676541,337984261,19609173,0,0,0,0,8591370,33,96.308,0.000275,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_counter_chain_restricted/round48_restrict440_maplesat_preprocess.cnf,8190,4725598,8485476,9604098311,821547166,0,0,0,0,193017076,97,4948.19,0.00164,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/mann/data-integrity/unsafe/arbitrated_top_n4_w32_d16_e0.aig_unroll9_maplesat_preprocess.cnf,8,1260,2563,510551,18861,0,0,0,0,6722,18,0.166655,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2016/bench_14144.smt2_maplesat_preprocess.cnf,15,3099,8340,176420,29192,0,0,0,0,18609,12,0.057373,2.00E-06,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/beem/brp.2.prop1-func-interl.aig_unroll19_maplesat_preprocess.cnf,4,411,1230,103430,10094,0,0,0,0,2817,12,0.049846,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2018D/zipcpu-pfcache-p15.aig_unroll19_maplesat_preprocess.cnf,1,98,263,14376,543,0,0,0,0,295,12,0.021374,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019A/picorv32_mutAX_nomem-p8.aig_unroll22_maplesat_preprocess.cnf,215,68731,1348989,186637751,6462121,0,0,0,0,1358792,162,61.9034,1.40E-05,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/qspiflash_qflexpress_divfive-p057.aig_unroll6_maplesat_preprocess.cnf,1,7,15,127,14,0,0,0,0,11,11,0,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019A/picorv32_mutAX_nomem-p4.aig_unroll19_maplesat_preprocess.cnf,188,58880,572302,192967231,11427118,0,0,0,0,1000517,144,50.9522,1.10E-05,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_counter_chain_restricted/round38_restrict450_maplesat_preprocess.cnf,5118,2959684,5726410,14807058218,169560249,0,0,0,0,119880439,70,4949.21,0.000816,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_two_operand_restricted/round32_restrict450_maplesat_preprocess.cnf,30202,19978049,28119786,5348532987,1464505583,0,0,0,0,349298920,139,4949.3,0.004649,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/tseitin_rnd/5regular/tseitin_440n_5regular_maplesat_preprocess.cnf,131071,106496240,282515841,2062279204,27663592068,0,0,0,0,26137102646,1014,4861.09,0.003559,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/tseitin_rnd/6regular/tseitin_180n_6regular_maplesat_preprocess.cnf,167641,138019404,283716111,1524085960,20262981299,0,0,0,0,19271948782,742,4879.99,0.004527,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/mann/data-integrity/unsafe/arbitrated_top_n2_w16_d16_e0.aig_unroll9_maplesat_preprocess.cnf,8,1302,2729,203143,16804,0,0,0,0,6906,13,0.080326,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_two_operand_restricted/round70_restrict445_maplesat_preprocess.cnf,4699,2716619,6329610,10351474963,450699824,0,0,0,0,99539665,88,4948.96,0.001206,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2017/bench_12001.smt2_maplesat_preprocess.cnf,3569,1819607,3274597,3071386552,161465308,0,0,0,0,67059598,64,785.494,0.000657,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_counter_chain_restricted/round66_restrict490_maplesat_preprocess.cnf,956,395982,1740778,1141404527,19786499,0,0,0,0,5335625,36,472.29,0.000332,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2018D/zipcpu-zipmmu-p00.aig_unroll19_maplesat_preprocess.cnf,70,20296,36881,2476905,464699,0,0,0,0,198192,14,0.817377,2.20E-05,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round28_restrict480_maplesat_preprocess.cnf,93,25498,36759,4412127,482742,0,0,0,0,203196,12,1.51496,2.90E-05,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_two_operand_restricted/round42_restrict475_maplesat_preprocess.cnf,4091,2066700,4335326,12313642375,105130305,0,0,0,0,51554882,49,4948.8,0.000723,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_counter_chain_restricted/round60_restrict490_maplesat_preprocess.cnf,2238,1191743,5493985,16805574873,25714713,0,0,0,0,17405423,59,4902.14,0.000607,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/tseitin/tseitin_82_36_grid_maplesat_preprocess.cnf,1,0,2834,5678,0,0,0,0,0,0,13,0.010644,0,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/mann/data-integrity/unsafe/circular_pointer_top_w8_d32_e0.aig_unroll20_maplesat_preprocess.cnf,1023,493740,1117348,167664659,13426647,0,0,0,0,5574651,22,44.6414,0.000311,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round68_restrict475_maplesat_preprocess.cnf,4094,2172837,4888990,9810536073,158699249,0,0,0,0,51638380,53,4948.89,0.001414,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_counter_chain_restricted/round72_restrict500_maplesat_preprocess.cnf,70,20132,152086,35444272,517713,0,0,0,0,160437,21,19.4152,3.00E-05,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_counter_chain_restricted/round26_restrict450_maplesat_preprocess.cnf,19322,12976654,15476555,8202964086,1335383093,0,0,0,0,437755433,115,4946.45,0.00125,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_counter_chain_restricted/round30_restrict460_maplesat_preprocess.cnf,9020,5682479,7835275,14092579153,576320662,0,0,0,0,200284751,106,4947.95,0.000958,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_dot_matrix_restricted/round30_restrict490_maplesat_preprocess.cnf,954,392608,744317,532146898,17457085,0,0,0,0,5776874,21,157.109,0.000242,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2017/bench_2426.smt2_maplesat_preprocess.cnf,511,225870,428290,143962774,10070750,0,0,0,0,4275400,23,40.8449,0.000174,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/dspfilters_fastfir_second-p17.aig_unroll9_maplesat_preprocess.cnf,3,284,943,825094,8613,0,0,0,0,1420,18,0.203785,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round72_restrict500_maplesat_preprocess.cnf,105,28923,249083,60583195,618284,0,0,0,0,231475,21,21.4297,4.40E-05,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round34_restrict460_maplesat_preprocess.cnf,14696,9050117,10904209,10885118638,814267673,0,0,0,0,318774673,156,4948.66,0.001714,INDETERMINATE
