instance_path,n,m,category
/scratch/jt2chung/sat2020/traffic_kkb_unknown.cnf,34510,701694,sat2020
/scratch/jt2chung/sat2020/6g_6color_366_050_04.cnf,77328,8485566,sat2020
/scratch/jt2chung/sat2020/4g_6color_180_100_02.cnf,216000,100254048,sat2020
/scratch/jt2chung/sat2020/LED_round_29-32_faultAt_29_fault_injections_5_seed_1579630418.cnf,18056,61479,sat2020
/scratch/jt2chung/sat2020/4g_6color_366_070_06.cnf,49848,7445410,sat2020
/scratch/jt2chung/sat2020/Timetable_C_241_E_45_Cl_16_S_16.cnf,168722,816601,sat2020
/scratch/jt2chung/sat2020/baseballcover14with25_and2positions.cnf,3575188,7150241,sat2020
/scratch/jt2chung/sat2020/49-133485.cnf,32517,863219,sat2020
/scratch/jt2chung/sat2020/hid-uns-enc-6-1-0-0-0-0-27601.cnf,1908,6232,sat2020
/scratch/jt2chung/sat2020/dislog_a18_x18_n28.cnf,41534,228205,sat2020
/scratch/jt2chung/sat2020/DLTM_twitter304_77_11.cnf,15510,86882,sat2020
/scratch/jt2chung/sat2020/Timetable_C_226_E_34_Cl_15_S_12.cnf,143546,635780,sat2020
/scratch/jt2chung/sat2020/DLTM_twitter690_74_16.cnf,34886,217180,sat2020
/scratch/jt2chung/sat2020/size_4_5_5_i028_w31_r9.cnf,1938,7452,sat2020
/scratch/jt2chung/sat2020/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,600,46074,sat2020
/scratch/jt2chung/sat2020/ncc_none_2_18_9_3_0_0_435991723.cnf,1048685,4718580,sat2020
/scratch/jt2chung/sat2020/Kakuro-easy-065-ext.xml.hg_3.cnf,107208,13924696,sat2020
/scratch/jt2chung/sat2020/lang28.cnf.gz.CP3-cnfmiter.cnf,310554,1240028,sat2020
/scratch/jt2chung/sat2020/size_5_5_5_i059_r12.cnf,3220,12439,sat2020
/scratch/jt2chung/sat2020/mp1-rubikcube312.cnf,3090,62778,sat2020
/scratch/jt2chung/sat2020/rphp4_090_shuffled.cnf,720,13009,sat2020
/scratch/jt2chung/sat2020/size_4_5_5_i035_w31_r9.cnf,1938,7452,sat2020
/scratch/jt2chung/sat2020/Steiner-243-45-bce.cnf,48600,27513,sat2020
/scratch/jt2chung/sat2020/SocialGolfers-6-6-6-cp_c18.cnf,9188,81660,sat2020
/scratch/jt2chung/sat2020/ctl_4291_567_11_unsat.cnf,17850,147308,sat2020
/scratch/jt2chung/sat2020/b2005-p3-14x14c17h9-Ser6-0.cnf,231235,32538689,sat2020
/scratch/jt2chung/sat2020/abw-Q-494_bus.mtx-w208.cnf,976144,3027907,sat2020
/scratch/jt2chung/sat2020/ls15-normalized.cnf.gz.CP3-cnfmiter.cnf,64836,253432,sat2020
/scratch/jt2chung/sat2020/b2005-p2-14x14c17h9-Ser4-0.cnf,147983,30728040,sat2020
/scratch/jt2chung/sat2020/rbsat-v760c43649g8.cnf,760,43649,sat2020
/scratch/jt2chung/sat2020/abw-V-nos6.mtx-w220.cnf,2020275,7278577,sat2020
/scratch/jt2chung/sat2020/simon-mixed-s02bis-05.cnf,11136,30792,sat2020
/scratch/jt2chung/sat2020/ctl_4291_567_9_unsat_pre.cnf,15232,169583,sat2020
/scratch/jt2chung/sat2020/dislog_a11_x11_n21.cnf,12094,62592,sat2020
/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-101-wffvars-500-cryptocplx-31-overlap-2.cnf,1545,17584,sat2020
/scratch/jt2chung/sat2020/rook-42-0-1.cnf,77529,297899,sat2020
/scratch/jt2chung/sat2020/Kakuro-easy-157-ext.xml.hg_4.cnf,129246,17327338,sat2020
/scratch/jt2chung/sat2020/Timetable_C_181_E_34_Cl_12_S_10.cnf,119459,494731,sat2020
/scratch/jt2chung/sat2020/goldb-heqc-k2mul.cnf,11680,74581,sat2020
/scratch/jt2chung/sat2020/abw-K-dwt__234.mtx-w51.cnf,56745,177682,sat2020
/scratch/jt2chung/sat2020/baseballcover14with25_and1positions.cnf,1404586,2809037,sat2020
/scratch/jt2chung/sat2020/course0.2_2018_3_5.cnf,657654,1193217,sat2020
/scratch/jt2chung/sat2020/Kakuro-easy-148-ext.xml.hg_8.cnf,212436,21799352,sat2020
/scratch/jt2chung/sat2020/Kakuro-easy-154-ext.xml.hg_4.cnf,132979,16897051,sat2020
/scratch/jt2chung/sat2020/size_4_5_5_i032_w31_r9.cnf,1938,7452,sat2020
/scratch/jt2chung/sat2020/Steiner-405-70-bce.cnf,136485,73975,sat2020
/scratch/jt2chung/sat2020/ps_200_301_70.cnf,313700,1536698,sat2020
/scratch/jt2chung/sat2020/preimage_80r_493m_160h_seed_249.cnf,56108,224204,sat2020
/scratch/jt2chung/sat2020/sqrt_ineq_3.c.cnf,132259,641421,sat2020
/scratch/jt2chung/sat2020/170154931.cnf,321,1123,sat2020
/scratch/jt2chung/sat2020/ps_200_317_70.cnf,330284,1618186,sat2020
/scratch/jt2chung/sat2020/sted1_0x0-649.cnf,13431,336142,sat2020
/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,1729,21718,sat2020
/scratch/jt2chung/sat2020/ncc_none_21015_5_3_3_1_0_11.cnf,1694512,5959123,sat2020
/scratch/jt2chung/sat2020/TT7F-34-24D.cnf,6545,874157,sat2020
/scratch/jt2chung/sat2020/problem_23.smt2.cnf,6590,19507,sat2020
/scratch/jt2chung/sat2020/jkkk-one-one-10-30-unsat.cnf,5671,38060,sat2020
/scratch/jt2chung/sat2020/ssAES_4-4-4_round_7-10_faultAt_7_fault_injections_2_seed_1564286498.cnf,7671,27215,sat2020
/scratch/jt2chung/sat2020/DLTM_twitter405_71_12.cnf,6692,36824,sat2020
