Size	  Kissat	xMapleLCM-DIP	
10	  0.00 		0.005486  
11	  0.00 		0.009229  
12	  0.00 		0.027969  
13	  0.00 		0.012595  
14	  0.00 		0.068253  
15	  0.01 		0.079489  
16	  0.01 		0.07404	  
17	  0.01 		0.361993  
18	  0.02 		0.192018  
19	  0.01 		0.378611  
20	  0.01 		0.055772  
21	  0.02 		1.28514	  
22	  0.05 		3.35626	  
23	  0.05 		2.38229	  
24	  0.09 		4.25888	  
25	  0.15 		2.80888	  
26	  0.03 		1.52133	  
27	  0.14 		2.71648	  
28	  0.24 		4.37534	  
29	  1.00 		4.83849	  
30	  0.45 		3.48124	  
31	  1.01 		3.02973	  
32	  1.56 		2.67724	  
33	  0.33 		2.45258	  
34	  1.02 		2.83137	  
35	  6.05 		3.37645	  
36	  2.48 		3.72784	  
37	 10.17 		6.18864	  
38	 58.39 		4.78738	  
39	243.80 		4.56534	  
40	 29.78 		3.32099	  
41	 20.02 		5.26647	  
42	 63.86 		8.00673	  
43	 14.38 		7.60662	  
44	 16.34 		3.27484	  
45	299.98 		8.52577	  
46	299.99 		7.7107	  
47	299.98 		11.9923	  
48	299.97 		10.4725	  
49	 52.26 		6.61483	  
50	299.99 		6.1624	  
51	299.99 		8.16701	  
52	299.99 		6.89653	  
53	299.98 		8.913	  
54	299.99 		7.89785	  
55	299.99 		10.157	  
56	299.99 		12.6925	  
57	299.99 		15.2684	  
58	299.99 		21.3216	  
59	299.98 		57.928	  
60	299.99 		42.4372   
