Size	Kissat		xMapleLCM-DIP
7	0.11 		3.66065
8 	0.27 		7.82639
9 	0.48 		4.63262
10 	0.95 		4.7309 
11 	2.13 		6.50007
12 	7.78 		5.3373 
13 	3.63 		5.71889
14 	13.81 		5.8827 
15 	115.00 		6.79277
16 	299.99 		9.31925
17 	150.07 		6.52689
18 	299.99 		7.04396
19 	299.97 		10.1279
20 	299.97 		9.89963
21 	299.93 		15.3122
22 	299.99 		28.1144
23 	299.99 		17.2197
24 	299.99 		27.0934
25 	299.99 		70.3871
26 	299.98 		24.3141
27 	299.99 		51.2549
28 	299.99 		34.0178
29 	299.99 		39.5658
30 	299.99 		72.7727
