solver,problem,restarts,conflicts,decisions,propagations,conf_lits,num_ev,ev_decisions,ev_conflicts,ev_learnt,total_lbd,mem_used,cpu_time,er_add_time,er_delC_time,er_delV_time,er_sub_time,satisfiability
kissat,/scratch/jt2chung/sat2020/traffic_kkb_unknown.cnf,21775,920405,1293066,255409773,17828198,0,0,0,0,,63,195.12,0,0,0,0,UNSATISFIABLE
kissat,/scratch/jt2chung/sat2020/6g_6color_366_050_04.cnf,13431,594663,1393430,1311166317,31561665,0,0,0,0,,333,873.78,0,0,0,0,SATISFIABLE
kissat,/scratch/jt2chung/sat2020/4g_6color_180_100_02.cnf,8543,318534,900247,2407489602,20428613,0,0,0,0,,3685,4997.65,0,0,0,0,
kissat,/scratch/jt2chung/sat2020/LED_round_29-32_faultAt_29_fault_injections_5_seed_1579630418.cnf,872023,30450062,51926510,1472009976,677753957,0,0,0,0,,43,4998.89,0,0,0,0,
kissat,/scratch/jt2chung/sat2020/4g_6color_366_070_06.cnf,109563,3767273,8585942,6395038758,128287363,0,0,0,0,,289,4998.73,0,0,0,0,
kissat,/scratch/jt2chung/sat2020/Timetable_C_241_E_45_Cl_16_S_16.cnf,65398,11757822,286396791,4520927692,1358946959,0,0,0,0,,155,1264.76,0,0,0,0,SATISFIABLE
kissat,/scratch/jt2chung/sat2020/baseballcover14with25_and2positions.cnf,16407,333732,1475096,859912115,4082988,0,0,0,0,,626,183.5,0,0,0,0,UNSATISFIABLE
kissat,/scratch/jt2chung/sat2020/49-133485.cnf,1721365,77982757,125098898,7619073569,1942132102,0,0,0,0,,109,2401.82,0,0,0,0,SATISFIABLE
kissat,/scratch/jt2chung/sat2020/hid-uns-enc-6-1-0-0-0-0-27601.cnf,33560,1199909,2327903,213124499,26806348,0,0,0,0,,10,91.26,0,0,0,0,UNSATISFIABLE
kissat,/scratch/jt2chung/sat2020/dislog_a18_x18_n28.cnf,315373,14569001,21086700,2856177475,343329981,0,0,0,0,,74,4998.24,0,0,0,0,
kissat,/scratch/jt2chung/sat2020/DLTM_twitter304_77_11.cnf,145398,4847954,8773111,3800868479,109731687,0,0,0,0,,22,1143.24,0,0,0,0,UNSATISFIABLE
kissat,/scratch/jt2chung/sat2020/Timetable_C_226_E_34_Cl_15_S_12.cnf,326012,48453888,1210202514,18589667674,6393502997,0,0,0,0,,267,4998.18,0,0,0,0,
