solver,heuristic,sub_defn,ext_freq,window_size,max_new_ev,force_branch,problem,restarts,conflicts,decisions,propagations,conf_lits,num_ev,ev_decisions,ev_conflicts,ev_learnt,total_lbd,mem_used,cpu_time,er_time,satisfiability
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,verification/zipcpu-busdelay-p46.aig_unroll20_maplesat_preprocess,94,25770,40764,2384634,682840,0,0,0,0,284261,12,1.25569,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,verification/zipcpu-busdelay-p36.aig_unroll22_maplesat_preprocess,254,87856,132648,7498146,2556822,0,0,0,0,1073618,23,7.7744,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,verification/VexRiscv-regch0-20-p1.aig_unroll22_maplesat_preprocess,990,405766,5075641,165251103,9888137,0,0,0,0,5104282,139,72.9841,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,verification/dspfilters_fastfir_second-p07.aig_unroll20_maplesat_preprocess,131,45347,181361,160368613,1103443,0,0,0,0,428882,66,60.9349,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,verification/dspfilters_fastfir_second-p45.aig_unroll22_maplesat_preprocess,1914,881145,4353225,2677589480,58441085,0,0,0,0,12815272,313,1040.08,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php08,31,7017,8017,94880,99271,0,0,0,0,50787,11,0.138942,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php09,109,29912,33473,404796,533822,0,0,0,0,266410,13,1.21855,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php10,205,67247,74335,846008,1509059,0,0,0,0,697143,24,4.78495,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php11,511,209262,230814,3109991,5868896,0,0,0,0,2441466,63,36.4463,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php12,1021,434257,474962,5748425,15099994,0,0,0,0,5746534,154,174.635,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php13,2557,1326905,1436432,17667423,50986048,0,0,0,0,19658914,397,1230.65,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php14,5345,3048131,3311442,39918248,127385149,0,0,0,0,51407252,893,4049.14,0,UNSATISFIABLE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php15,5628,3171347,3459932,49287064,148702446,0,0,0,0,55575622,1259,4944.98,0,INDETERMINATE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php16,5627,3163819,3472670,56378020,220303835,0,0,0,0,54947495,1270,4937.42,0,INDETERMINATE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php17,5117,2900668,3209050,53768826,208429210,0,0,0,0,54123304,1434,4935.55,0,INDETERMINATE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php18,6141,3452874,3789524,61993998,272299560,0,0,0,0,69297940,1865,4938.24,0,INDETERMINATE
maplesat_static_none,none,N/A,N/A,N/A,N/A,N/A,php19,6140,3423332,3736590,68558791,311212272,0,0,0,0,70005033,1808,4937.83,0,INDETERMINATE
