4	72	415	5211	10
5	128	1806	22334	172
6	200	6603	102690	726
7	288	6154	84563	1070
8	392	13663	265933	2225
9	512	9484	82246	2614
10	648	15788	157261	3211
11	800	17660	156234	3283
12	968	24051	207837	3969
13	1152	32466	335257	5022
14	1352	45135	472624	6650
15	1568	54623	501562	7924
16	1800	67193	700741	10903
17	2048	74757	670643	12543
18	2312	106000	1206246	15277
19	2592	247600	4832504	26786
20	2888	111081	1115890	17682
21	3200	102520	843725	21319
22	3528	139247	1465661	25968
23	3872	175750	2129868	29420
24	4232	153480	1571806	28865
25	4608	194597	2284624	33195
26	5000	220864	2514950	43095
27	5408	337316	4668325	50877
28	5832	255645	2825776	44912
29	6272	318728	3808042	50588
30	6728	274057	2659365	54949
31	7200	320298	3669766	58448
32	7688	311982	3311199	64526
33	8192	381527	5218256	63397
34	8712	292009	2410577	68035
35	9248	304769	2755013	69369
36	9800	316332	2663624	77511
37	10368	511576	5999467	90682
38	10952	355881	2968761	86016
39	11552	367349	3235561	91379
40	12168	381098	2899481	95345
41	12800	408005	3438358	98892
42	13448	584656	9730959	112817
43	14112	452341	3812080	115415
44	14792	654268	9339380	122557
45	15488	445666	3387532	117414
46	16200	479372	3660302	126710
47	16928	658423	9157793	136242
48	17672	724608	9418295	149417
49	18432	538070	3960604	141317
50	19208	525034	3723665	146410
51	20000	546724	4186662	150425
52	20808	614725	5200545	161090
53	21632	643740	5400196	172303
54	22472	604437	4096951	173120
55	23328	772046	7551258	184522
56	24200	674978	4924937	189309
57	25088	686694	5205320	196141
58	25992	687983	4771376	198447
59	26912	715293	4783897	209961
60	27848	784610	5871400	227583
61	28800	726232	4250686	232451
62	29768	739232	4821149	224551
63	30752	785962	4833045	240925
64	31752	816622	5134846	248736
65	32768	783057	4342883	244212
66	33800	911523	7071354	261577
67	34848	967939	6379457	284288
68	35912	897727	5314079	284238
